Logradouro; Bairro; Cidade; Base; Tecnologia; CEP; Velocidade 
Rua Fernandes Genovês;Vila Ester;São Paulo;Mauá;FTTH;08330-280;35 / 50 / 100 / 150 / 300 MB
Rua Genes de Proença;Vila Ester;São Paulo;Mauá;FTTH;08330-250;35 / 50 / 100 / 150 / 300 MB
Rua Ilha do Cardoso;Vila Ester;São Paulo;Mauá;FTTH;08330-200;35 / 50 / 100 / 150 / 300 MB
Rua Padre Fernando de Monserrate;Vila Ester;São Paulo;Mauá;FTTH;08330-210;35 / 50 / 100 / 150 / 300 MB
Rua Pedro de Andrade;Vila Ester;São Paulo;Mauá;FTTH;08330-300;35 / 50 / 100 / 150 / 300 MB
Avenida Gonçalves da Costa;Jardim Vila Carrão;São Paulo;Mauá;FTTC;08340-520;8 / 12 / 20 / 35 MB
Viela Vinte e Cinco;Vila Ester;São Paulo;Mauá;FTTH;08330-318;35 / 50 / 100 / 150 / 300 MB
Travessa Rio Santa Rosa;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-675;35 / 50 / 100 / 150 / 300 MB
Rua Albertino Rasconi ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-340;35 / 50 / 100 / 150 / 300 MB
Rua Domenico Alfani ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-350;35 / 50 / 100 / 150 / 300 MB
Rua Alfredo Agate ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-530;35 / 50 / 100 / 150 / 300 MB
Rua Ernesto Belandi ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-370;35 / 50 / 100 / 150 / 300 MB
Rua Maria de Aveiro ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-260;35 / 50 / 100 / 150 / 300 MB
Rua Manuel de Agreda ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-670;35 / 50 / 100 / 150 / 300 MB
Travessa Norival Nunes Coutinho;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-415;35 / 50 / 100 / 150 / 300 MB
Rua Eduardo Alves;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-120;35 / 50 / 100 / 150 / 300 MB
Rua Professor Melo Paiva;Vila Lourdes;São Paulo;Guaianazes;FTTH;08410-180;35 / 50 / 100 / 150 / 300 MB
Rua Lepidolita;Vila Lourdes;São Paulo;Guaianazes;FTTH;08410-005;35 / 50 / 100 / 150 / 300 MB
Rua Maju;Vila Solange;São Paulo;Guaianazes;FTTH;08410-560;35 / 50 / 100 / 150 / 300 MB
Avenida Souza Ramos ;Guaianazes;São Paulo;Guaianazes;FTTH;08490-490;35 / 50 / 100 / 150 / 300 MB
Rua Nova Guaianazes ;Guaianazes;São Paulo;Guaianazes;FTTH;08473-001;35 / 50 / 100 / 150 / 300 MB
Rua Salvador Gianetti;Guaianazes;São Paulo;Guaianazes;FTTH;08410-000;35 / 50 / 100 / 150 / 300 MB
Rua São João Marcos ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-700;35 / 50 / 100 / 150 / 300 MB
Rua Parati ;Vila Marilena;São Paulo;Guaianazes;FTTH;08411-570;35 / 50 / 100 / 150 / 300 MB
Rua Barão de Gouvinhas ;Vila Hortência;São Paulo;Guaianazes;FTTH;08490-009;35 / 50 / 100 / 150 / 300 MB
Rua Barão José de Aquino ;Vila Hortência;São Paulo;Guaianazes;FTTH;08490-012;35 / 50 / 100 / 150 / 300 MB
